application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
PERM,19-11-2013,29-05-2015,Certified,H-1B,GENERAC POWER SYSTEMS,WAUKESHA,WISCONSIN,UNITED STATES OF AMERICA,INDIA,WAUKESHA,Bachelor's,WISCONSIN,Waukesha,WISCONSIN
PERM,12-11-2013,26-06-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,ANSAN-SI,None,,Itta Bena,MISSISSIPPI
PERM,27-11-2013,16-10-2014,Denied,H-1B,"AVIDITY, LLC",AURORA,COLORADO,UNITED STATES OF AMERICA,GERMANY,DENVER,Doctorate,COLORADO,Aurora,COLORADO
PERM,13-11-2013,26-05-2015,Certified,E-2,STAR COMMUNICATIONS LLC,LYNNWOOD,WASHINGTON,UNITED STATES OF AMERICA,SOUTH KOREA,BELLEVUE,Master's,WASHINGTON,Lynnwood,WASHINGTON
PERM,12-11-2013,26-06-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,15-11-2013,28-05-2015,Certified,F-1,SANSU CORPORATION,EAST LANSING,MICHIGAN,UNITED STATES OF AMERICA,SOUTH KOREA,OKEMOS,None,MICHIGAN,East Lansing,MICHIGAN
PERM,02-07-2014,01-12-2014,Certified-Expired,H-1B,TALBERT & TALBERT LLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CANADA,NEW YORK,Bachelor's,NEW YORK,New York,NEW YORK
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,WONJU-SI,None,,Itta Bena,MISSISSIPPI
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,JEJU-SI,None,,Itta Bena,MISSISSIPPI
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,TOKYO,None,,Itta Bena,MISSISSIPPI
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,SMYRNA,Bachelor's,GEORGIA,College Station,TEXAS
PERM,02-01-2014,12-06-2015,Certified,,"OBJECT TECHNOLOGY SOLUTIONS, INC",OVERLAND PARK,KANSAS,UNITED STATES OF AMERICA,INDIA,OVERLAND PARK,Bachelor's,KANSAS,Overland Park,KANSAS
PERM,13-11-2013,28-05-2015,Certified,H-1B,"GREEN EARTH FUELS OF HOUSTON, LLC.",GALENA PARK,TEXAS,UNITED STATES OF AMERICA,BRAZIL,HOUSTON,Bachelor's,TEXAS,Galena Park,TEXAS
PERM,13-11-2013,11-05-2015,Certified,Not in USA,"IH SERVICES, INC.",GREENVILLE,SOUTH CAROLINA,UNITED STATES OF AMERICA,CHINA,JIANGMEN,None,,Charleston,SOUTH CAROLINA
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,PLAINSBORO,Bachelor's,NEW JERSEY,College Station,TEXAS
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,15-11-2013,13-05-2015,Certified,L-1,"EPAM SYSTEMS, INC",NEWTOWN,PENNSYLVANIA,UNITED STATES OF AMERICA,UKRAINE,MOUNTAIN VIEW,Master's,CALIFORNIA,Mountain View,CALIFORNIA
PERM,14-11-2013,20-05-2015,Certified,H-1B,APPLEXUS TECHNOLOGIES LLC,FEDERAL WAY,WASHINGTON,UNITED STATES OF AMERICA,INDIA,MONTVALE,Bachelor's,NEW JERSEY,FEDERAL WAY,WASHINGTON
PERM,30-06-2014,11-09-2015,Certified,H-1B,"ARRAY NETWORKS, INC.",MILPITAS,CALIFORNIA,UNITED STATES OF AMERICA,CHINA,SAN JOSE,Master's,CALIFORNIA,Milpitas,CALIFORNIA
PERM,11-11-2013,20-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,18-11-2013,26-05-2015,Certified,H-1B,"HUNT CONSOLIDATED, INC.",DALLAS,TEXAS,UNITED STATES OF AMERICA,INDIA,DALLAS,Master's,TEXAS,Dallas,TEXAS
